,Name,Reviews,Rating
48,vijay manchodi,"Nice product I like this product. This product is not  bad. Good quality nice futures are there. The watch is looking very nice. And built quality also good. The watch is doing very perfect monitoring like HR, BP, SPO2, STEPS MONITOR. Totally good watch. We can buy this smart watch.READ MORE",4
49,Zikra Ansari,Awesome product.This bolt ninja is very stylish watch as compared to other. Battery life is also excellent. Delivery was super fast. Thank you fkREAD MORE,5
50,yogesh,Awesome quality smartwatch. Very easy to track day to day activities by using it. It have all the needed function and both display and design is good. Very worth product and very useful.READ MORE,5
51,Ravi Kumar,Great value for money watch spo2 and bp tracking is not accurate but gives idea of health. Great product at great price love itREAD MORE,5
52,Geeta Kumari,Have used many smartwatches before it but this one is pretty good. I liked the display of this watch.  Got this amazing one in affordable price with a lot of features. My decision of buying it is worth.READ MORE,5
53,SANDHYA  BHANGE,"Good deal. Value for money product. Best smart watch compared to Boat, Realme & Colourfit. I loved it.READ MORE",5
54,Flipkart Customer,"Looks good. Works well enough without pairing to a smartphone. The step, heart rate, and SpO2 tracking are fairly accurate.READ MORE",5
55,Nishant  Kumar,First time i bought smart watch this is superb watch build quality is great over all nice watchREAD MORE,5
56,"Sid, Flipkart Customer","The watch is cool. Being ill, I sleep more than once a day. But the watch does not record all the data. It only records my first sleep data from the day.I dont have any apps linked to my watch, so I cannot comment on that aspect. The watch faces are good, but it would be awesome if they would allow us to create our own. The editing of that one watch face has limited features.If you are using for the sake of time and you not trust the  device to give you 100% accurate readings, it will b...READ MORE",4
57,MANMOHAN JOSHI ,Absolutely amazing product display is very good looks are amazing hoping updates will be soon overall a must buy product accuracy is absolutely nice .Most affordable smart watch with all required built in features like Spo2 .. value for moneyREAD MORE,5
58,sentu  debbarma,This is the best smart watch Within this price... It's really very smart to use... I highly recommend to everyone to buy this watch.. ThnqREAD MORE,5
59,Raja Roy,Awesome product. Very good battery back up. Easy in use. Personally recommend to buy and use.READ MORE,5
60,Suman Tapader,Very Good And Very Flexible Use.Value for Money at this price.Full metal body.Exact What I Expected.Charger is Very Good and Its also New Type of Magnet Charger.READ MORE,5
61,SANTHOSH GEDALA,One of the cheapest smart watch with SPO2 and excellent quality and all smart features are availableREAD MORE,5
62,Charu Jain,"Good watch with all the features of high end watches, good connectivity, display is good, good tracking features, overall a good value for moneyREAD MORE",5
63,Gaurav Deshmukh,Good product fits perfectly and easy to wearThe quality is great and look wise decent oneA great one at thjs budget range and feature wiseREAD MORE,5
64,Rizwana Parveen,"A unique product with all 4 vital parameters BP, Heart Rate, Temperature and SpO2 at one place. Also the new design is very beautiful and give it a touch of Apple Watch.In terms of affordability, the cost is much more affordable compared to other high end products available in the same category. In short a great product with excellent features and pocket friendly. Go for it guys.READ MORE",5
65,Flipkart Customer,"Looks good, Works goodNinja has some really impressive features which is hard to find in this price. Sensors work exceptionally well. They show accurate results and it's awesome.READ MORE",5
66,Flipkart Customer,Budget friendly. Amazing features just go for it without second thought.😊😊READ MORE,5
67,Flipkart Customer,Very goodREAD MORE,5
68,Flipkart Customer,"Color is lighter than as shown in picture, exact color is pale pink. Over all love it.READ MORE",4
69,ARUNA PAIKARAY,Great product according to the price😊 i just love this watch❤READ MORE,5
70,Rajesh Mondal,Very goodREAD MORE,4
71,Flipkart Customer,Amazing in this price range .. worth buying.Full of features.READ MORE,5
72,Deeksha Sachan,Nice watch ⌚READ MORE,5
73,haresh jain,ExcellentREAD MORE,5
74,Vaishali  Jaiswal ,It's a great product 😊READ MORE,5
75,Pari Pandey,I like it very much an feature is so goodREAD MORE,5
76,Sunil  Kumar ,😍🥰Meet my new 1st smart watch ⌚  its amazing 👏 i loved it.........😘READ MORE,4
77,Flipkart Customer,Watch is good but I lost my smartwatch in my college😥😥READ MORE,5
78,Flipkart Customer,I just loved the battery backup & it's amazing I loved itREAD MORE,5
79,Namitha Customer,Superb I gave 5* I like this features its amazingREAD MORE,5
80,VICKY Kaushik,It's good .for middle class .READ MORE,5
81,Flipkart Customer,Super Watch looks like Iwatch 😘READ MORE,5
82,Flipkart  Customer ,Just amazing it is! Loved the product and its packaging😍.READ MORE,5
83,Kabita Behera,Nice for productsREAD MORE,4
84,Sarita Fernandes,Good but less appREAD MORE,4
85,Dulumoni  Saikia,😍😍😍😍😍😍... Thank you FlipkartREAD MORE,5
86,Pooja Tiwari,Superrb❤READ MORE,3
87,Flipkart Customer,Cheating. In the pictures used by the company it seems like the display is full screen. But actual display is so small. Though there aren't many features I bought it to support Indian products. Step count is not even close to decent. I regret buying this one.READ MORE,
88,Anil Dinesh  Valaparla ,"After couple of days Bluetooth is not pairing. When requested for replacement, flipkart rejected the request without contacting me. Worst productREAD MORE",
89,nikunj Joshi,Good watchREAD MORE,5
90,Akhina Rebin,"Very very small size..its just like kids watch.dont buy this and dont waste your money . display is very small, display quality is very bad,Very low quality watch.please don't buy this and don't waste your moneyREAD MORE",
91,Sonam Subbanwar,Amazing look easy to operate classyREAD MORE,5
92,Ritwika,It is an amazing watch.... Quite impressive by its features.... Affordable under this budget... Display could slight biggerREAD MORE,4
93,Flipkart Customer,Good lookingREAD MORE,5
94,Ruksana Khatun,Love this watch ❤️READ MORE,5
95,Shridhar Hirandagi,Totally satisfied. My 1st smart watch I am happy with my decision no regrets. Value for money. Build quality is just amezing. Only I felt battery backup is low.READ MORE,5
96,AVIJIT Das,It's very nice productREAD MORE,4
97,Prashil Sawarkar,Awesome watch...READ MORE,5
98,pandiyan j,"Too many scratches on medal body totaly waste I'm request replacement (not worthy for money) don't buy it's out look was worst and spo2 tracking bp,heat rate tracking compare with other brand not good quality and not detecting upto mark, totaly its china brand and software look also china lookREAD MORE",
99,Mitul Jani,GoodREAD MORE,3
100,Flipkart Customer,Vry adorable product..!!❤️READ MORE,5
101,Flipkart Customer,"Activity tracking is inaccurate. It don't track steps,  BP, SPO2  correctly.  Waste of moneyREAD MORE",
102,Suraj R Nilkanth,Watch is not visible to phone bluetooth. Screen is not on more than 2 second.READ MORE,
103,anita b,Best watch for effective price.READ MORE,5
104,Manish Asnani,"Touch Stopped working after 2 daysConsidering Price compare to Competitors products, This watch wins the Game but at the cost of inaccurate activity tracking. It count steps even i am standing & moving hands. Records SpO2, BP, Heart Rate monitoring of Non-Living things. In last 24hrs, Battery drains at 50%. Disconnecting issue with phone even after keeping app on Autostart & locking the app. Watch keeps on searching device in every 5mins although phone is within 5m range. Sleep Monitoring i...READ MORE",
105,Navin Raj,Nice watch and good build quality very nice productREAD MORE,5
106,Manoj  Kumar,"Pros :-Touch to wake features very ResponsiveDesign and Build Quality PremiumBattery life 3 to 4 daysWellness features BP, HR, Spo2 Working GoodNotification Alert with vibrationOverall PackageValue For MoneyCons:-Outdoor Use Brightness lowREAD MORE",4
107,Pooja Rai,The watch is more receptive and reacts to motion in comparison to boat syorm that I bought.....tge metallic body make it cool....the only thing is disadvantage the screen size.READ MORE,5
108,Rupesh Kishor Chaudhari,15 days working properly after 15 days watch not connect to application don't west moneyREAD MORE,
109,Flipkart Customer,goodREAD MORE,5
110,Flipkart Customer,"Don't buy at all, Company cheat the customers. Company claimed display size is 1.3"" but it actually less then 1"". Waste of money.READ MORE",
111,Rajnish Verma,Dont purchase this watch...Money wasted 🙏READ MORE,
112,ARUN GUPTA,Very poor productREAD MORE,
113,Ghani khan,It's 3 day n it's not workingREAD MORE,
114,Flipkart Customer,"It's showing not worn when I try to check bp , hr and spo2READ MORE",
115,Shabin akesh,Very badREAD MORE,
116,Ashish  Bhoi,Ordered 2 different colours ...🥳 Looks good on me..READ MORE,5
117,Aritra,I would rate this product 0 stars if I could ..... All the sensors are terrible they are barely accurate the app is very unstable and lacks customisation the screen is to small for any proper viewing the only redeem thing about this smart watch is the battery life. Please do not buy this product and waste you're money ...... Go for boat xtend or noise smartwatches they are infinitly better and will give you a way better productREAD MORE,
118,Flipkart Customer,Value for money all features mentioned in the product are there in a compact manner.Would have been more happier if the charging wire was given little more long and expected music controls in the features otherwise it's a fine productREAD MORE,5
119,Sk NagurSaheb,No battery backup and no bp measureREAD MORE,
120,Flipkart Customer,Bad qualityREAD MORE,
121,Shyamsundar Katkar,It is good but it's not come with music control and find    My phoneREAD MORE,4
122,Pratap kumar Das,Super watch in budget price. Tracking and display is exllent you can buy this watchREAD MORE,4
123,Naveen kumar,Display not working after using 15 days.READ MORE,
124,Flipkart Customer,Nice watchREAD MORE,5
125,chetan shinde,Dial size is good but display size is worst.READ MORE,
126,RUSHI PATEL ,Don't buy anyone totally money waste productREAD MORE,
127,Kavita rawat,I love this watchREAD MORE,5
128,huzefa vadgamwala,Excellent productREAD MORE,5
129,Hiraman Koktare,Good quality and tahnks fire boltREAD MORE,4
130,DURGA PRASAD,WastedREAD MORE,
131,Pankaj kumar Patel,Very Good Product for kidsREAD MORE,4
132,Vivek  Verma,Cheap productsREAD MORE,
133,Chanchal Sharma,Very badREAD MORE,
134,Flipkart Customer,GoodREAD MORE,3
135,Flipkart Customer,WasteREAD MORE,
136,Lalit Verma,Looks is premium but display size too small and battery pickup 2-3 days max.READ MORE,
137,Aniket Loharekar,Nice watch value for moneyREAD MORE,4
138,meer  Hussain,Waste fullREAD MORE,
139,Flipkart Customer,Like the best ever although I am just 11 it fits me perfect 🥰 I love it so much pls if u can’t connect to da fit app after a restore pls keep tryingREAD MORE,5
140,Rohit Narula,"Disappointed (review after 1 month use)1.Facing Display issue - screen wakes up automatically after every 5 secs resulting in battery drain within few hours.2. Features like SpO2, BP & Heart Rate Monitoring does not work accurately, even giving results for non-living objects. Now even the smart watch cannot be used as a simple digital watch due to above issues.READ MORE",
141,Manoj Avinashi,Good 👍READ MORE,4
142,Mehedi Hassan,Good product 👍READ MORE,3
143,sujoy bhowmick,"Not bad,READ MORE",3
144,BYRISETTI BALA SAI RAM YASO VISHAL,My first impression about fireboltt ninja is awesome and I will update my review after using for one weekREAD MORE,5
145,Vikas Sarfare,Nice colour & budget gadget for health trackingREAD MORE,5
146,Ritu Das,Good productREAD MORE,5
147,SANDEEP KUMAR KHUDANIA,Good productREAD MORE,3
148,Ashish Malik,I have not tested much yet but it's seems to be good with tymREAD MORE,4
149,Syed  fakruddin  Ali ahmed,Display  smallREAD MORE,
150,Rahul Gupta,Bad WatchREAD MORE,
151,Flipkart Customer,This amazing watch I surprised 😯🤟🤟READ MORE,5
152,Rahul  Singh,Aswm product with this price rangeREAD MORE,5
153,Debasis Banik,Very bad product.. from today onwards it's start legging.. horibole software... It's a very much bad experience I ever find from Boult company and second tym from Flipkart for this electronic items... This is my last purchase from Flipkart in electronic.items...READ MORE,
154,Suman  Dolui ,GoodREAD MORE,5
155,Ritika Chundawat,Very goodREAD MORE,5
156,Flipkart Customer,SuperREAD MORE,5
157,Abhishek Swami,Nice productREAD MORE,5
158,Sree Lakshmi,Nice 💕READ MORE,4
159,Shivam Yadav,It's ok in this price range.READ MORE,4
160,Gautam Mahajan,Pathetic watch. Not working any moreREAD MORE,
161,Dev Keni,Very poor productREAD MORE,
162,Flipkart Customer,Silver coated at side of display is peeling off and colour is changing to tan brown. It was my wrong choice to choose this model. Please don't buy this product.READ MORE,
163,Anitha Chinna mari,Very bad product..😡 don't waste your moneyREAD MORE,
164,Flipkart Customer,Its a good watchREAD MORE,3
165,Suraj,Amazing purchaseLoved it!!READ MORE,5
166,Ruby  singh,Worth buying. good featuresREAD MORE,4
167,Flipkart Customer,✅✅Very nice watch👌👌👌 I am happy for watch 🙂❤❤❤❤❤❤READ MORE,5
168,Ashfaq Nahipudi,Nice WatchREAD MORE,5
169,Mamta Shrivastava,Very good watch thans flipkartREAD MORE,5
170,Bhushan Barde,Nice productREAD MORE,5
171,Avishek Bhowmick,Third class productREAD MORE,
172,Manas Rout,Best Smart Watch in affordable price.READ MORE,4
173,Karthikeyan Badugula,Too badREAD MORE,
174,BANTI  GOSWAMI,This watch bad not purchaseREAD MORE,
175,Sajeesh E,"Connection issues, waste productREAD MORE",
176,subham ghosh,Ok.. but as per amount.  It's not sufficientREAD MORE,3
177,Ganesh Dodke,Nice watchREAD MORE,5
178,vikas  jaiswal,Bad productREAD MORE,
179,nikhil singh,Dont buyREAD MORE,
180,Balaji Chate,Don't purchaseREAD MORE,
181,Prajjwal Turkar,Not working properlyREAD MORE,
182,Satnam Singh,Not good display very tinyREAD MORE,
183,Flipkart Customer,Worst productDial size to small not as shown in picREAD MORE,
184,Sake Chandrasekhar,Very badREAD MORE,
185,Debajyoti Nath,"Wrost product...... Very disappointed product, never expect it from flipkartREAD MORE",
186,Harmeet Kaur,Good experienceREAD MORE,4
187,Flipkart Customer,Product was so disgusting. i am Highly disappointed.READ MORE,
188,Rajesh Kumar,Not buy this productREAD MORE,
189,Syed Abbas,Screen size very small don't buy 😡😡😡😡😡READ MORE,
190,Flipkart Customer,"I bought this as a gift for my wife, and the color was same her (❤️Heart) which is awsm 😂😅😂😅😂😅 The smart watch has a bright display and scrolling is smoothREAD MORE",5
191,Tamim Mollah,Not badREAD MORE,3
192,Flipkart Customer,Don't buy wrost productREAD MORE,
193,Raj  Patel,Nice Product in this RangeREAD MORE,5
194,Abdul Gaffar,"Product is good but full display not available, everything is working in this, battery life is good,READ MORE",4
195,Mhd Owais,Very nice 👌🏻READ MORE,5
196,Sudarsana Jyothi,It's amazing I loved this watchREAD MORE,5
197,Avishek Das,Not good enough.......READ MORE,3
198,Govind h chavda Govind h chavda,good productREAD MORE,5
199,Flipkart Customer,"Major connection issues, it keeps disconnecting so often that you hardly get to enjoy the features.Honest feedback after using it for a week, I wouldn't recommend anyone to buy this product.Lots of things to fix for this product I wish if the company gets to act on the issues faced by customers. Also its shocking that how did watch even pass the test to be released in the market.As a user terribly disappointed. I wouldn't wont anyone else to land up with the same.ThanksREAD MORE",
200,Shaik  Parvez,"Awesome,watch at affordable price .READ MORE",5
201,Sahil Kulkarni,Product design is poor and also continues heart rate monitoring feature is not available. I am very disappointedREAD MORE,
202,Flipkart Customer,SuperbREAD MORE,3
203,Mohd Salamul,Good productREAD MORE,5
204,Sangeeta Customer,Awesome products and budget friendlyREAD MORE,5
205,Asha N,"Not satisfied with the display size. It is very tiny,  body and strap both are thickerREAD MORE",
206,Flipkart Customer,"Screen size is too small....Look wise, watch is good...when it comes to features, it's not up to the mark...Even the watch strip is too thin....Its not giving accurate step counts...Product not up to the mark.READ MORE",3
207,Flipkart Customer,Product is ok ok . Need some more features.READ MORE,4
208,Flipkart Customer,This smart watch by FireBoltt is super amazing....I' m continuously using this since I hav received it and have not faced any issues till now. Really love itREAD MORE,5
209,Mahalingam T,It's worth for money.. Display is awesome..just go for it..READ MORE,5
210,Kashi,"A must have product especially during the current situation. It not only helps you to track your blood oxygen levels along with your body temperature and heart rate, it has a bundle of other features too. Overall a wonderful buy for me plus it looks really cool and stylishREAD MORE",5
211,PRASHANT  PARAB ,Not good frodactREAD MORE,
212,Yogesh Manderna,It is a fake product. Don't waste your moneyREAD MORE,
213,Pratik Shinde,Value for Money 😊 Nice ProductREAD MORE,5
214,Ramakrishna,Lose of manyREAD MORE,
215,Flipkart Customer,Amazing product❤️❤️❤️READ MORE,4
216,Ch.Naresh Kumar,Good product in this price range go for it 😊READ MORE,5
217,kailas chaure,WEATHER STATUS NOT SHOW ..READ MORE,
218,Flipkart Customer,Good productREAD MORE,3
219,Gitu moni Swargiary ,I love it so much 😍READ MORE,5
220,Shalini Srivastava,"Its an amazing deal , Very happyREAD MORE",5
221,Aarav Jain,"Looks premium, light weight, user friendly watch.Monitor your spo2, stress level and heart monitor on working time.READ MORE",5
222,Thakur Vipin Singh ,Accuracy very badREAD MORE,
223,Ramiz Ahmed,Don't buy it. Demaged it self. It's display don't on after few days. Now have to fine care centerREAD MORE,
224,PRIYANSHU  RAJ ,This watch is only for show piece. Any sensor doesn't work properly. sometime it shows non living things heart rate 🥲 Flipkart is not accepting return requestREAD MORE,
225,Flipkart Customer,Good watchREAD MORE,4
226,Raju B,Super watchREAD MORE,5
227,Ashi,"Display size is small not full screen,  health monitor readings are not correct.READ MORE",
228,Flipkart Customer,NiceREAD MORE,3
229,MUDASIR SHAIKH,Best watchREAD MORE,4
230,Arjun  Singh,Very nice product 😊👍👍 good qualityREAD MORE,5
231,Flipkart Customer,Parfect smartwatchREAD MORE,5
232,Rajkumar Subbiyan ,Stylish watch.READ MORE,5
233,Flipkart Customer,MOST WORST PRODUCT EVER SEEN ! STOPS WORKING WITHIN 8MONTHS FROM DATE OF PURCHASING. THE COMPANY IS CHEATING PEOPLE GIVING IT AT CHEAP RATES . PLEASE DONT BUY HARDLY WORKS FOR 7-8 MONTHS!READ MORE,
234,badrish darji,"Very bad product, not run even 8 month..and seller (flipcart)has raised their hand.READ MORE",
235,Flipkart Customer,ExcellentREAD MORE,5
236,Swetha Sajja,Best build quality in the segmentSuper fast interface experienceREAD MORE,5
237,Flipkart Customer,"Worst product.If u thinking to buy a smart watch never go for this device 1.Not getting charged after 2month, 2.touch not working completely waste of moneyREAD MORE",
238,Shikha  Jaiswal ,On this prize this is totally amazing..... Looking attractive features 👌 on touch sensor is gd... Thanku Flipkart for fast deliveryREAD MORE,5
239,RAJESH NEHRA,Lot of features in others section which are available in my pTron smartwatch with similar price range are missing in this smartwatch. I want to return but policy doesn't allow so I'm stuck with a lesser feature watch and obviously not happy to keep it।READ MORE,
240,Bapi Mal,I m happyREAD MORE,5
241,Flipkart Customer,NiseREAD MORE,5
242,Ranjit  Londhe ,Value for money best productREAD MORE,5
243,Ankitha Reddy,"Super watch ,good battery life, value for money .READ MORE",5
244,Ankit Raj,Very Bad product please don't buyAfter some days of purchase it's not working properly and stop permanently and also very Bad battery backup. Charging problem also happened in almost products of fire-bolt.READ MORE,
245,Neetu Das,"This watch is good for nothing, a screen which is shown in the image is not at all similar from it's very small screen and step counter is totally wrong, don't go for this watch if you are looking for a fitness smart watchREAD MORE",
246,Raju Dasgupta,Charging related experience is not good.this is worst product. costomer care number is not reachable.pleace can't waist money for this watch ......READ MORE,
247,Flipkart Customer,Was good... But after some days it doesn't work properly....i mean the activities prescribed in that doesn't work properly!READ MORE,3
248,Flipkart Customer,"Nice watch ,value for moneyREAD MORE",5
249,Nazaray alam Alam,SuperREAD MORE,5
250,Flipkart Customer,Very useful and nice product must buyREAD MORE,5
251,saniya parween,"I am so happy for images,READ MORE",5
252,Supriya Bk,It's so nice watch go for itREAD MORE,5
253,Flipkart Customer,Worth valueREAD MORE,4
254,Merin Jose,Good Product...READ MORE,4
